"ET","CC","Priority","CI","OE","OW","NI","SI","RI","FI"
187.202,5,2,4,0,17623,3,0,1,6
175.738,5,2,5,0,17623,0,3,3,4
185.116,3,2,2,120,90,0,1,2,0
184.458,5,2,4,0,17623,0,2,4,4
180.288,3,2,2,16,27,0,1,2,0
183.92,3,2,4,0,17623,0,0,3,0
788.967,3,2,3,0,17623,0,0,3,0
788.959,3,2,3,0,17623,0,0,3,0
788.957,3,2,3,0,17623,0,0,3,0
180.234,4,2,4,0,17623,0,1,5,0
179.641,4,2,4,0,17623,0,0,6,0
788.95,4,2,4,0,17623,0,0,3,3
172.906,4,2,3,0,17623,0,0,3,3
163.082,3,2,2,0,17623,0,0,3,0
279.51,3,2,3,0,17623,0,0,1,2
174.7,4,2,5,0,17623,0,0,3,3
169.177,3,2,2,0,17623,0,0,3,0
173.046,4,2,5,0,17623,1,0,1,4
788.929,3,2,3,0,17623,0,0,3,0
169.165,3,2,2,0,17623,0,0,3,0
788.928,5,2,5,0,17623,0,3,7,0
788.924,3,2,3,0,17623,0,0,3,0
792.799,5,2,7,0,17623,0,0,6,4
170.811,3,2,2,0,17623,0,1,2,0
171.562,3,2,4,0,17623,0,0,1,2
170.759,3,2,4,0,17623,0,0,3,0
170.159,3,2,3,0,17623,0,0,1,2
782.817,3,2,4,0,17623,0,0,3,0
782.813,3,2,3,0,17623,0,0,3,0
167.835,4,2,4,0,17623,0,0,3,3
782.805,3,2,3,0,17623,0,0,3,0
782.803,3,2,3,0,17623,0,0,3,0
156.933,3,2,3,0,17623,0,0,3,0
156.929,5,2,7,0,17623,0,4,6,0
156.929,3,2,2,0,17623,0,0,3,0
163.282,3,2,3,0,17623,0,1,2,0
767.532,3,2,3,0,17623,0,0,3,0
767.52,3,2,3,0,17623,0,0,3,0
719.828,3,2,5,0,17623,0,0,1,2
779.753,4,2,5,0,17623,0,0,6,0
580.662,3,2,5,0,17623,0,0,1,2
157.319,4,2,8,0,17623,0,1,2,3
645.873,15,2,18,84,118,66,1,2,36
154.054,3,2,7,0,17623,1,0,0,2
105.03,3,2,2,16,27,0,0,3,0
769.21,3,2,4,0,17623,0,1,2,0
1086.479,5,2,6,0,17623,3,0,1,6
1051.459,6,2,5,0,17623,0,3,7,5
1101.033,4,2,5,0,17623,1,0,1,4
964.093,10,2,9,5,15,28,0,1,16
917.878,3,2,2,0,17623,0,1,2,0
138.111,4,2,3,0,17623,1,0,1,4
294.976,4,2,3,0,17623,1,0,1,4
44.168,3,2,2,5,3,0,1,2,0
115.189,4,2,4,0,17623,0,0,3,3
140.047,3,2,4,0,17623,0,0,3,0
133.379,4,2,4,0,17623,1,0,1,4
881.2,7,2,7,0,17623,1,4,6,10
98.59,4,2,4,0,17623,1,0,1,4
125.017,3,2,4,0,17623,0,0,1,2
6.388,3,2,2,0,17623,0,1,0,2
212.77,3,2,2,0,17623,0,0,3,0
107.473,4,2,7,0,17623,1,0,1,4
97.758,4,2,3,0,17623,1,0,1,4
276.231,23,2,24,0,12,231,0,0,22
80.701,3,2,6,0,17623,0,1,2,0
698.716,9,2,8,375,249,15,1,2,18
139.828,3,2,2,0,17623,0,1,0,2
40.921,3,2,3,0,17623,0,0,1,2
467.987,4,2,3,0,17623,0,1,2,3
