"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
331.5408,4,4,7,46,15,0,0,6,0
279.4597,4,4,6,367,67,0,0,6,0
278.7853,5,4,8,3863,370,0,0,10,0
261.4494,4,4,8,28,5,0,4,2,0
258.315,6,4,8,3863,370,0,0,10,5
232.6625,5,4,9,572,19,0,0,10,0
3458.1544,5,3,8,99,10,0,1,5,4
3233.8428,4,3,6,99,10,0,0,6,0
2602.21,5,3,6,3863,370,0,0,10,0
2533.9761,3,3,7,27,14,0,1,2,0
2296.0706,3,3,3,3863,370,0,0,3,0
1781.1067,3,3,8,2225,411,0,1,2,0
1607.7083,4,3,4,367,67,0,0,6,0
1459.9611,3,3,8,27,14,0,0,3,0
1442.5428,3,3,7,0,15804,0,1,2,0
1436.9061,4,3,4,3863,370,0,0,6,0
1241.6475,5,3,7,17,1,0,0,6,4
1194.1214,4,3,4,3863,370,0,0,6,0
998.1014,5,3,6,309,56,0,3,7,0
975.1272,4,3,4,66,19,0,0,6,0
570.2181,5,3,7,55,18,0,1,5,4
480.2444,4,3,4,2242,181,0,0,6,0
480.1136,4,3,4,2242,181,0,0,6,0
479.1053,4,3,4,2242,181,0,0,6,0
448.4503,5,3,10,34,21,0,2,4,4
446.3978,5,3,6,2242,181,0,1,9,0
429.5511,5,3,8,34,21,0,1,9,0
427.0119,5,3,12,2225,411,0,1,5,4
306.0133,4,3,4,367,67,0,0,6,0
303.7831,4,3,4,66,19,0,0,6,0
280.6319,4,3,6,55,18,0,0,6,0
261.0964,4,3,4,3863,370,0,0,6,0
4501.7519,4,2,7,99,10,0,0,6,0
1603.3997,3,2,8,0,15804,0,0,3,0
639.0678,3,2,3,66,19,0,0,3,0
455.9325,4,2,14,3863,370,0,0,3,3
262.9747,3,2,2,57002,161,0,0,3,0
3665.0433,3,1,7,0,15804,0,0,3,0
3050.3022,4,1,4,309,56,0,0,6,0
2510.9489,5,1,7,0,15804,0,2,8,0
2429.0583,5,1,8,0,15804,0,0,6,4
1939.2275,4,1,6,0,15804,0,0,6,0
1814.8314,3,1,8,52,10,0,1,2,0
1440.5094,4,1,4,400,127,0,1,5,0
1252.6675,4,1,8,0,15804,0,0,6,0
1095.2728,4,1,5,1162,209,0,1,5,0
996.9433,3,1,3,309,56,0,0,3,0
976.7397,4,1,6,0,15804,0,0,6,0
954.7947,4,1,4,22,3,0,0,6,0
830.8356,4,1,5,294,73,0,1,5,0
785.7244,4,1,4,294,73,0,0,6,0
741.1353,4,1,4,309,56,0,0,6,0
741.065,4,1,4,309,56,0,0,6,0
738.5572,3,1,6,0,15804,0,0,3,0
675.2639,4,1,6,0,15804,0,0,6,0
667.1331,3,1,6,46,15,0,0,3,0
663.0508,5,1,6,367,67,0,1,9,0
644.0572,4,1,6,0,15804,0,0,6,0
1491.3903,3,6,5,2242,181,0,0,3,0
877.0142,4,6,5,2242,181,0,0,6,0
734.5672,7,6,9,2242,181,0,2,13,6
458.7686,5,6,6,2242,181,0,0,10,0
1449.86,4,5,6,0,15804,0,1,5,0
1125.6697,3,5,4,755,163,0,0,3,0
760.995,5,5,8,309,56,0,0,10,0
501.5469,4,5,4,2242,181,0,0,6,0
394.7683,3,5,3,755,163,0,0,3,0
357.1739,3,5,3,2242,181,0,0,3,0
354.2367,5,5,6,80,30,0,1,9,0
1794.1364,3,4,8,0,1,0,1,2,0
391.9725,3,4,3,755,163,0,0,3,0
876.0075,5,3,5,309,56,0,0,10,0
426.7936,4,3,4,2242,181,0,0,6,0
1443.6003,4,1,5,2242,181,0,0,3,3
876.1089,4,1,4,309,56,0,0,6,0
345.575,4,1,7,0,15804,0,1,5,0
470.1269,3,3,4,44,23,0,0,1,2
2.5153,3,1,7,0,15804,0,3,0,0
345.4461,4,4,14,0,15804,0,0,6,0
50.7669,3,5,6,66,19,0,0,3,0
1122.5292,3,4,23,0,15804,0,0,3,0
333.9117,3,4,5,222,76,1,0,0,2
810.0925,5,1,7,2684,416,1,2,1,6
180.9878,3,4,7,6,1,1,0,0,2
317.3056,3,6,2,2061,23,0,0,3,0
291.8114,3,6,2,2061,23,0,0,3,0
598.2014,3,4,5,80,30,0,0,1,2
67.4236,3,1,4,28,5,0,0,1,2
1673.7806,6,6,7,2242,181,0,2,13,0
62.2386,4,6,5,2242,181,0,0,6,0
1498.3089,6,5,7,2242,181,0,0,15,0
1392.9617,4,5,4,2242,181,0,0,6,0
950.9214,4,5,4,2242,181,0,0,6,0
906.6294,4,5,4,2242,181,0,0,6,0
896.4314,7,5,9,755,163,0,4,11,6
709.7881,5,5,7,2242,181,0,0,6,4
684.3914,4,5,4,2242,181,0,0,6,0
652.1042,3,5,5,2242,181,0,0,3,0
593.3522,6,5,7,2242,181,0,0,10,5
62.3261,4,5,6,2242,181,0,0,6,0
2060.1175,6,4,11,2242,181,0,2,13,0
1575.6475,4,4,4,755,163,0,0,6,0
1524.1881,4,4,4,755,163,0,0,6,0
1376.3108,3,4,3,755,163,0,0,3,0
1359.735,5,4,6,2242,181,0,0,10,0
1184.2067,3,4,3,755,163,0,0,3,0
1093.8389,3,4,8,2242,181,0,0,3,0
1092.6156,4,4,4,755,163,0,0,6,0
692.8881,5,4,6,2242,181,0,2,8,0
510.8264,5,4,7,2242,181,0,0,10,0
323.0144,5,4,6,2242,181,0,0,10,0
127.9064,5,4,6,2242,181,0,1,9,0
1606.8489,5,3,6,2242,181,0,0,6,4
1572.5183,3,3,7,2242,181,0,0,3,0
1393.4872,4,3,4,2242,181,0,0,6,0
1162.5864,3,3,10,2684,416,0,0,3,0
1094.3097,5,3,6,2242,181,0,0,10,0
975.1169,4,3,4,2242,181,0,0,6,0
707.5558,5,3,6,2242,181,0,0,10,0
683.3075,4,3,4,2242,181,0,0,6,0
683.1889,4,3,4,2242,181,0,0,6,0
596.0894,3,3,8,28,5,0,0,3,0
572.7347,3,3,4,2242,181,0,0,1,2
502.1294,5,3,6,2242,181,0,0,10,0
354.8003,5,3,6,2242,181,0,0,10,0
106.91,5,3,6,2242,181,0,0,10,0
93.1831,5,3,10,367,67,0,3,7,0
1696.0986,4,6,4,2242,181,0,0,6,0
1742.3081,4,4,7,755,163,0,0,6,0
1010.7786,3,1,3,3863,370,0,0,3,0
84.0417,4,1,6,0,15804,0,0,3,3
1448.8597,4,6,4,3863,370,0,0,6,0
859.7906,5,6,14,367,67,0,0,6,4
212.7978,5,6,9,367,67,0,0,6,4
165.6278,4,6,13,0,15,0,2,4,0
2088.7325,5,5,10,572,19,0,1,9,0
1741.0444,5,5,7,3863,370,0,0,6,4
1690.5036,5,5,11,2061,23,0,3,7,0
994.3714,3,5,5,2061,23,0,0,1,2
1406.7581,3,5,17,335,67,0,0,3,0
1673.4708,3,5,8,2684,416,0,0,1,2
